"plantid","binned10","binned20","binned30","binned40","binned50","binned60","binned70","binned80","binned90","binned100","binned110","binned120","binned130","binned140","binned150","binned160","binned170","binned180"
"AlleeBacteria1",5,11,26,41,41,15,9,1,3,0,0,0,0,0,0,0,0,0
"AlleeBacteria10",17,29,34,20,1,1,6,9,6,8,6,0,0,0,0,0,0,0
"AlleeBacteria2",16,10,1,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0
"AlleeBacteria3",12,20,26,38,20,20,11,10,9,0,0,0,0,0,0,0,0,0
"AlleeBacteria4",19,21,45,66,52,36,5,0,0,0,0,0,0,0,0,0,0,0
"AlleeBacteria5",13,11,6,5,5,5,3,1,0,0,0,0,0,0,0,0,0,0
"AlleeBacteria6",18,22,42,53,28,4,1,0,0,0,0,0,0,0,0,0,0,0
"AlleeBacteria7",15,30,33,42,45,25,23,16,5,0,0,0,0,0,0,0,0,0
"AlleeBacteria8",46,43,22,20,32,17,17,14,5,5,13,2,6,4,0,0,0,0
"AlleeBacteria9",19,23,33,40,35,28,15,18,6,9,0,0,0,0,0,0,0,0
"AlleeFull1",31,34,28,29,34,34,26,17,2,0,0,0,0,0,0,0,0,0
"AlleeFull10",21,38,47,54,25,13,29,11,7,12,3,0,0,0,0,0,0,0
"AlleeFull2",23,32,39,36,48,7,0,0,0,0,0,0,0,0,0,0,0,0
"AlleeFull3",21,36,35,27,28,21,13,14,8,1,0,0,0,0,0,0,0,0
"AlleeFull4",26,38,37,36,38,25,14,16,11,15,9,4,2,1,0,0,0,0
"AlleeFull5",24,15,22,15,15,9,7,5,0,0,0,0,0,0,0,0,0,0
"AlleeFull6",20,33,46,39,30,27,23,11,13,7,13,5,5,1,0,0,0,0
"AlleeFull7",12,13,10,5,22,11,4,20,8,0,0,0,0,0,0,0,0,0
"AlleeFull8",24,34,48,41,27,28,2,0,0,0,0,0,0,0,0,0,0,0
"AlleeFull9",26,53,43,44,48,49,15,13,7,9,1,10,3,1,0,0,0,0
"AlleeSterile1",18,15,29,30,40,40,11,8,7,3,3,3,4,0,0,0,0,0
"AlleeSterile10",19,24,23,20,14,11,0,3,0,0,0,0,0,0,0,0,0,0
"AlleeSterile2",16,30,35,19,29,2,0,0,0,0,0,0,0,0,0,0,0,0
"AlleeSterile3",13,19,0,13,31,6,10,6,11,6,12,4,5,14,3,3,0,0
"AlleeSterile4",14,20,26,16,23,9,15,3,0,0,0,0,0,0,0,0,0,0
"AlleeSterile5",35,44,44,50,17,6,4,4,0,0,0,0,0,0,0,0,0,0
"AlleeSterile6",25,45,32,37,30,16,18,21,9,26,11,9,3,0,0,0,0,0
"AlleeSterile7",27,46,40,44,31,13,19,12,29,11,12,6,4,3,4,4,0,0
"AlleeSterile8",24,23,43,49,47,19,15,6,4,2,0,0,0,0,0,0,0,0
"AlleeSterile9",9,18,13,12,6,18,17,10,5,5,4,8,2,0,0,0,0,0
"BernheimBacteria10",14,23,26,37,34,16,7,4,2,0,0,0,0,0,0,0,0,0
"BernheimBacteria2",6,3,1,5,6,2,4,0,0,0,0,0,0,0,0,0,0,0
"BernheimBacteria3",5,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BernheimBacteria4",11,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"BernheimBacteria5",9,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BernheimBacteria6",7,3,5,4,6,8,6,7,1,0,0,0,0,0,0,0,0,0
"BernheimBacteria8",7,3,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"BernheimBacteria9",4,0,4,1,13,20,17,6,10,9,11,10,3,0,0,0,0,0
"BernheimFull1",4,16,23,56,50,22,37,28,22,9,16,7,13,9,8,0,0,0
"BernheimFull10",35,70,55,41,5,0,9,3,11,5,4,3,2,0,0,0,0,0
"BernheimFull2",47,33,42,47,31,29,19,15,8,10,2,3,0,0,0,0,0,0
"BernheimFull3",16,32,30,28,36,22,18,6,10,4,4,1,0,0,0,0,0,0
"BernheimFull4",40,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BernheimFull5",17,23,28,33,24,19,34,15,7,12,11,12,7,8,2,0,0,0
"BernheimFull6",15,24,29,23,10,8,4,6,4,9,1,5,4,1,2,0,0,0
"BernheimFull7",25,40,41,41,23,3,13,11,13,2,0,0,0,0,0,0,0,0
"BernheimFull8",34,27,32,29,16,24,12,21,5,2,0,0,0,0,0,0,0,0
"BernheimFull9",36,46,57,20,36,15,26,24,9,8,8,4,5,0,0,0,0,0
"BernheimSterile1",24,54,52,30,47,29,23,18,12,16,10,10,6,4,0,0,0,0
"BernheimSterile10",11,5,6,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"BernheimSterile2",21,29,30,24,26,9,3,0,0,0,0,0,0,0,0,0,0,0
"BernheimSterile3",31,5,29,27,8,5,17,8,9,0,0,0,0,0,0,0,0,0
"BernheimSterile4",26,40,46,37,47,29,14,1,0,0,0,0,0,0,0,0,0,0
"BernheimSterile5",18,29,19,27,19,11,5,7,7,2,1,1,0,0,0,0,0,0
"BernheimSterile6",25,51,35,40,11,0,1,2,0,0,0,0,0,0,0,0,0,0
"BernheimSterile7",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BernheimSterile8",32,34,15,5,6,15,13,4,3,1,0,0,0,0,0,0,0,0
"BernheimSterile9",17,22,20,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"GraceBacteria1",8,5,1,11,9,4,9,8,1,0,0,0,0,0,0,0,0,0
"GraceBacteria10",11,20,8,10,5,7,14,10,8,6,0,0,0,0,0,0,0,0
"GraceBacteria2",51,50,59,44,8,2,1,4,0,0,0,0,0,0,0,0,0,0
"GraceBacteria3",16,29,28,36,19,1,10,4,0,0,0,0,0,0,0,0,0,0
"GraceBacteria4",23,28,39,24,0,1,4,9,9,9,14,5,7,6,1,0,0,0
"GraceBacteria5",10,6,7,4,4,7,3,0,0,0,0,0,0,0,0,0,0,0
"GraceBacteria6",9,8,11,19,22,34,15,15,13,10,0,0,0,0,0,0,0,0
"GraceBacteria7",17,22,15,35,25,19,10,8,6,4,10,0,0,0,0,0,0,0
"GraceBacteria8",28,21,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GraceBacteria9",9,9,10,9,21,13,6,7,5,3,2,2,0,0,0,0,0,0
"GraceFull1",10,17,20,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"GraceFull10",25,21,21,23,12,6,7,7,8,5,1,1,0,0,0,0,0,0
"GraceFull2",18,17,19,22,25,17,20,14,11,9,8,11,14,7,6,10,7,0
"GraceFull3",23,29,47,28,23,16,16,11,7,10,6,18,11,12,6,6,1,0
