plantid,microbe,diversity,microbediversity,site
AlleeBacteria1,Bacteria,High,BacteriaHigh,Allee
AlleeBacteria10,Bacteria,High,BacteriaHigh,Allee
AlleeBacteria2,Bacteria,High,BacteriaHigh,Allee
AlleeBacteria3,Bacteria,High,BacteriaHigh,Allee
AlleeBacteria4,Bacteria,High,BacteriaHigh,Allee
AlleeBacteria5,Bacteria,High,BacteriaHigh,Allee
AlleeBacteria6,Bacteria,High,BacteriaHigh,Allee
AlleeBacteria7,Bacteria,High,BacteriaHigh,Allee
AlleeBacteria8,Bacteria,High,BacteriaHigh,Allee
AlleeBacteria9,Bacteria,High,BacteriaHigh,Allee
AlleeFull1,Full,High,FullHigh,Allee
AlleeFull10,Full,High,FullHigh,Allee
AlleeFull2,Full,High,FullHigh,Allee
AlleeFull3,Full,High,FullHigh,Allee
AlleeFull4,Full,High,FullHigh,Allee
AlleeFull5,Full,High,FullHigh,Allee
AlleeFull6,Full,High,FullHigh,Allee
AlleeFull7,Full,High,FullHigh,Allee
AlleeFull8,Full,High,FullHigh,Allee
AlleeFull9,Full,High,FullHigh,Allee
AlleeSterile1,Sterile,High,SterileHigh,Allee
AlleeSterile10,Sterile,High,SterileHigh,Allee
AlleeSterile2,Sterile,High,SterileHigh,Allee
AlleeSterile3,Sterile,High,SterileHigh,Allee
AlleeSterile4,Sterile,High,SterileHigh,Allee
AlleeSterile5,Sterile,High,SterileHigh,Allee
AlleeSterile6,Sterile,High,SterileHigh,Allee
AlleeSterile7,Sterile,High,SterileHigh,Allee
AlleeSterile8,Sterile,High,SterileHigh,Allee
AlleeSterile9,Sterile,High,SterileHigh,Allee
BernheimBacteria1,Bacteria,Low,BacteriaLow,Bernheim
BernheimBacteria10,Bacteria,Low,BacteriaLow,Bernheim
BernheimBacteria2,Bacteria,Low,BacteriaLow,Bernheim
BernheimBacteria3,Bacteria,Low,BacteriaLow,Bernheim
BernheimBacteria4,Bacteria,Low,BacteriaLow,Bernheim
BernheimBacteria5,Bacteria,Low,BacteriaLow,Bernheim
BernheimBacteria6,Bacteria,Low,BacteriaLow,Bernheim
BernheimBacteria7,Bacteria,Low,BacteriaLow,Bernheim
BernheimBacteria8,Bacteria,Low,BacteriaLow,Bernheim
BernheimBacteria9,Bacteria,Low,BacteriaLow,Bernheim
BernheimFull1,Full,Low,FullLow,Bernheim
BernheimFull10,Full,Low,FullLow,Bernheim
BernheimFull2,Full,Low,FullLow,Bernheim
BernheimFull3,Full,Low,FullLow,Bernheim
BernheimFull4,Full,Low,FullLow,Bernheim
BernheimFull5,Full,Low,FullLow,Bernheim
BernheimFull6,Full,Low,FullLow,Bernheim
BernheimFull7,Full,Low,FullLow,Bernheim
BernheimFull8,Full,Low,FullLow,Bernheim
BernheimFull9,Full,Low,FullLow,Bernheim
BernheimSterile1,Sterile,Low,SterileLow,Bernheim
BernheimSterile10,Sterile,Low,SterileLow,Bernheim
BernheimSterile2,Sterile,Low,SterileLow,Bernheim
BernheimSterile3,Sterile,Low,SterileLow,Bernheim
BernheimSterile4,Sterile,Low,SterileLow,Bernheim
BernheimSterile5,Sterile,Low,SterileLow,Bernheim
BernheimSterile6,Sterile,Low,SterileLow,Bernheim
BernheimSterile7,Sterile,Low,SterileLow,Bernheim
BernheimSterile8,Sterile,Low,SterileLow,Bernheim
BernheimSterile9,Sterile,Low,SterileLow,Bernheim
GraceBacteria1,Bacteria,Low,BacteriaLow,Grace
GraceBacteria10,Bacteria,Low,BacteriaLow,Grace
GraceBacteria2,Bacteria,Low,BacteriaLow,Grace
GraceBacteria3,Bacteria,Low,BacteriaLow,Grace
GraceBacteria4,Bacteria,Low,BacteriaLow,Grace
GraceBacteria5,Bacteria,Low,BacteriaLow,Grace
GraceBacteria6,Bacteria,Low,BacteriaLow,Grace
GraceBacteria7,Bacteria,Low,BacteriaLow,Grace
GraceBacteria8,Bacteria,Low,BacteriaLow,Grace
GraceBacteria9,Bacteria,Low,BacteriaLow,Grace
GraceFull1,Full,Low,FullLow,Grace
GraceFull10,Full,Low,FullLow,Grace
GraceFull2,Full,Low,FullLow,Grace
GraceFull3,Full,Low,FullLow,Grace
GraceFull4,Full,Low,FullLow,Grace
GraceFull5,Full,Low,FullLow,Grace
GraceFull6,Full,Low,FullLow,Grace
GraceFull7,Full,Low,FullLow,Grace
GraceFull8,Full,Low,FullLow,Grace
GraceFull9,Full,Low,FullLow,Grace
GraceSterile1,Sterile,Low,SterileLow,Grace
GraceSterile10,Sterile,Low,SterileLow,Grace
GraceSterile2,Sterile,Low,SterileLow,Grace
GraceSterile3,Sterile,Low,SterileLow,Grace
GraceSterile4,Sterile,Low,SterileLow,Grace
GraceSterile5,Sterile,Low,SterileLow,Grace
GraceSterile6,Sterile,Low,SterileLow,Grace
GraceSterile7,Sterile,Low,SterileLow,Grace
GraceSterile8,Sterile,Low,SterileLow,Grace
GraceSterile9,Sterile,Low,SterileLow,Grace
LLPBacteria1,Bacteria,High,BacteriaHigh,LLP
LLPBacteria10,Bacteria,High,BacteriaHigh,LLP
LLPBacteria2,Bacteria,High,BacteriaHigh,LLP
LLPBacteria3,Bacteria,High,BacteriaHigh,LLP
LLPBacteria4,Bacteria,High,BacteriaHigh,LLP
LLPBacteria5,Bacteria,High,BacteriaHigh,LLP
LLPBacteria6,Bacteria,High,BacteriaHigh,LLP
LLPBacteria7,Bacteria,High,BacteriaHigh,LLP
LLPBacteria8,Bacteria,High,BacteriaHigh,LLP
